node1,node2,simRate,merge
We,The implementation in this section,0.568062398,
an endemic equilibrium,( ie inverse of mean incubation period,0.567888558,
SIRS ( susceptible ) infection dynamics in a infinite population of households,the method,0.567718723,
The models,the dynamics of the Ebola virus,0.567640923,
j flow from patch,an clear [ wiki  Newick_format ) of this grammar,0.567479471,
several features : age,one infection event,0.56731575,
Individuals,the number of recovery events,0.56722909,
individuals,the number of recovery events,0.56722909,
the states,an example (,0.567182585,
the number of infection events,it,0.567111978,
the final sizeof,an clear [ wiki  Newick_format ) of this grammar,0.567064539,
the SIR model,the significant assumptions,0.566962269,
This model,the established ways,0.566912066,
migration between patches,alternative forms for the process,0.566689095,
This code,the process,0.566554884,
the flow from patch,an exposed infectious class,0.56655145,
the state,a stochastic model of genealogies,0.566509602,
SIRS ( susceptible ) infection dynamics in a infinite population of households,the process,0.566440417,
the model of,it,0.566371409,
One way,efficient methods for,0.56634769,
Cross - coupling between patches,the network model of ,0.566346904,
several features : age,the form S,0.566206334,
This code,you,0.566183334,
pneumococcal transmission,infection,0.566060977,
deterministic  time analogues of  model passage times,they,0.565978587,
The model,the method of ( Cox ),0.565952572,
the state,a language,0.565928339,
One way,a grammar,0.565905507,
a constant total population size ,an example (,0.565647818,
an exposed infectious class,infection,0.565638165,
a Binomial distribution with k,The susceptible model,0.565612475,
all elements on the row,These models,0.56557672,
all elements on the row,these models,0.56557672,
a constant total population size ,alternative forms for the process,0.565533943,
the flow from patch,the final sizeof,0.565515828,
two metapopulation SEIR models,the rate of transmission between individuals in the population,0.565467611,
The details,The probabilities,0.565346057,
parameters as transmission rates,the dynamics of the Ebola virus,0.565341169,
Sigma rate of breakdown,a stochastic process for these parameters,0.565125574,
a capita rate beta I,matrix Beta,0.56501729,
a stochastic process for the transmission rate,a grammar,0.564946647,
This section,the number of susceptible individuals,0.564929676,
The susceptible ( SIS ) model,SEIRD model ,0.564923917,
model,The susceptible ( SIS ) model,0.564923917,
This code,there,0.564869222,
This code,There,0.564869222,
different rates,forecasting of in,0.564840806,
This model,the significant assumptions,0.564790313,
This code,these parameters,0.564748515,
we,these models,0.564742384,
We,These models,0.564742384,
these models,We,0.564742384,
we,These models,0.564742384,
all elements on the row,an example (,0.564738689,
zero,a constant total population size ,0.564723109,
the method of ( Cox ),The details,0.564705389,
this,a stochastic process for these parameters,0.564656505,
The susceptible ( SIS ) model,all elements on the row,0.56459067,
efficient methods for,a record of the number of infection,0.564578339,
a model,the method,0.56455456,
forecasting of in,the form S,0.56454141,
each time step,an exposed infectious class,0.564457716,
the method of ( Cox ),The Newick format,0.56439415,
all elements of C,other models,0.564380999,
efficient methods for,other models,0.564317007,
Sigma rate of breakdown,a stochastic model of genealogies,0.564285341,
a stochastic process for these parameters,proportions of ,0.564155337,
a stochastic process for these parameters,the final sizeof,0.564110199,
The details,it,0.564068528,
that model times,this code,0.56400019,
that model times,efficient methods for,0.563988572,
the number of parasites per host,time,0.563926569,
alternative forms for the process,proportions of ,0.5638805,
forecasting of in,another language  things,0.563818028,
the efficacy of interventions,some assumptions,0.563773992,
These features,the system,0.563690302,
two metapopulation SEIR models,the number of susceptible individuals,0.563500101,
a constant total population size ,the form S,0.563411288,
they,the significant assumptions,0.563379677,
the method of ( Cox ),a way,0.563244008,
an endemic equilibrium,downward drift on the transmission rate,0.56319283,
a Binomial distribution with k,the elements on ,0.563174402,
alternative forms for the process,the SIR model,0.563058593,
many SEIR models,they,0.563023163,
the number of parasites per host,Sigma rate of breakdown,0.56299965,
the method of ( Cox ),parameters as transmission rates,0.562957923,
the model of,efficient methods for,0.56294531,
which,several features : age,0.562901117,
One way,The models,0.562725643,
migration between patches,large numbers of,0.562575149,
a simple SIR model,the probability of all paths,0.562561624,
This model,the method,0.562537909,
this process,the SIR model,0.562523764,
one of the simplest models,an endemic equilibrium,0.562521641,
We,the number of infection events,0.562357332,
we,the number of infection events,0.562357332,
The models,The Newick format,0.562320516,
the number of parasites per host,between patch contact,0.562225306,
which,a recovery event,0.562023912,
many SEIR models,the number of infection events,0.561887961,
a special case of a general model,some assumptions,0.561859762,
they,all paths,0.561764732,
it,an example (,0.561745415,
the method,it,0.561715807,
the process,an example (,0.561608421,
we,which,0.56148208,
which,We,0.56148208,
pneumococcal transmission,a stochastic process for the transmission rate,0.561471929,
The model in a closed population,efficient methods for,0.561471125,
all elements of C,between patch contact,0.561370213,
all elements on the row,many SEIR models,0.561285776,
interest in the total number of people,this code,0.561120297,
These features,the significant assumptions,0.561076455,
https:doiorgjmbs  ) ,the method of ( Cox ),0.561047956,
i,there,0.561036543,
I,There,0.561036543,
I,there,0.561036543,
i,There,0.561036543,
they,these models,0.560878476,
they,These models,0.560878476,
an endemic equilibrium,an example (,0.560828272,
The model,parameters as transmission rates,0.560794804,
